country,year,value
Philippines,2008,39333.07424354167
Philippines,2009,39462.1220395875
Philippines,2010,39409.68297168125
Philippines,2011,39780.96772377917
Philippines,2012,40409.007719245834
Philippines,2013,40901.2318785
Philippines,2014,41666.52895947084
Philippines,2015,42917.38921528542
Philippines,2016,43428.380642193755
Philippines,2017,44147.3018637875
Philippines,2018,45076.46715157708
Philippines,2019,46832.425199118756
Singapore,1990,1674.0467610847916
Singapore,1991,1600.5793993231248
Singapore,1992,1544.868509030625
Singapore,1993,1514.791181254375
Singapore,1994,1523.5525255022915
Singapore,1995,1534.665427754375
Singapore,1996,1548.2616705260416
Singapore,1997,1548.4458675433334
Singapore,1998,1549.679228826875
Singapore,1999,1522.4169759177084
Singapore,2000,1510.6852813683333
Singapore,2001,1479.0213958425
Singapore,2002,1454.1210320322916
Singapore,2003,1402.3281241434167
Singapore,2004,1386.1892849616042
Singapore,2005,1350.4431136270625
Singapore,2006,1349.9018611343959
Singapore,2007,1370.8252848307918
Singapore,2008,1378.7422834024167
Singapore,2009,1351.7714562442918
Singapore,2010,1372.4079474971875
Singapore,2011,1416.1796795363334
Singapore,2012,1520.0204622930003
Singapore,2013,1632.8844655709584
Singapore,2014,1738.3233156542708
Singapore,2015,1812.7012924686876
Singapore,2016,1841.220894996979
Singapore,2017,1865.9322563061041
Singapore,2018,1959.6573910895002
Singapore,2019,2045.6798755035416
Thailand,1990,22008.44108168125
Thailand,1991,23085.83585816875
Thailand,1992,24042.712065058335
Thailand,1993,25167.11009888125
Thailand,1994,26578.961813075002
Thailand,1995,27989.570326514586
Thailand,1996,29362.566730137496
Thailand,1997,28096.553976404164
Thailand,1998,29226.240649422918
Thailand,1999,31715.0933795
Thailand,2000,32264.416020164583
Thailand,2001,31428.797727954166
Thailand,2002,32368.015275370835
Thailand,2003,32796.0018969375
Thailand,2004,33328.26837147917
Thailand,2005,33641.18616190334
Thailand,2006,34303.80220376
Thailand,2007,35151.51745191271
Thailand,2008,35774.71180885417
Thailand,2009,35926.37592036937
Thailand,2010,36753.14113802583
Thailand,2011,36639.67463450313
Thailand,2012,36247.10755564187
Thailand,2013,35388.96340685625
Thailand,2014,35253.879799004375
Thailand,2015,35500.066638209166
Thailand,2016,36792.606104070626
Thailand,2017,37586.213052000836
Thailand,2018,39091.4579164475
Thailand,2019,41051.3176363775
Timor-Leste,1990,351.71162499999997
Timor-Leste,1991,349.65916666666664
Timor-Leste,1992,348.35175
Timor-Leste,1993,206.47150788674998
Timor-Leste,1994,182.90511144772725
Timor-Leste,1995,177.472800775
Timor-Leste,1996,171.55573122045456
Timor-Leste,1997,164.08209575
Timor-Leste,1998,160.12056686818184
Timor-Leste,1999,157.29862087954544
Timor-Leste,2000,141.20001863541668
Timor-Leste,2001,142.20488604375
Timor-Leste,2002,150.13975414375
Timor-Leste,2003,164.51446651875
Timor-Leste,2004,175.54324309583333
Timor-Leste,2005,186.37627383958332
Timor-Leste,2006,192.98621658333334
Timor-Leste,2007,209.77268078958332
Timor-Leste,2008,222.82589836666668
Timor-Leste,2009,242.18825008124998
Timor-Leste,2010,258.29867797708334
Timor-Leste,2011,274.35679979375
Timor-Leste,2012,288.08697554791667
Timor-Leste,2013,297.60608917291665
Timor-Leste,2014,308.8541344895833
Timor-Leste,2015,324.7396294104167
Timor-Leste,2016,337.1659803333333
Timor-Leste,2017,344.87611663125
Timor-Leste,2018,353.4667123666666
Timor-Leste,2019,361.7240114291667
